iter	RMSE
0	3.199018812
1	3.152464735
2	3.10663871
3	3.064667549
4	3.026611786
5	2.988040863
6	2.954020882
7	2.922964143
8	2.893124509
9	2.86211575
10	2.832571783
11	2.806340342
12	2.780692735
13	2.756161726
14	2.734231599
15	2.714695184
16	2.69558855
17	2.675403603
18	2.656543538
19	2.641259922
20	2.626392403
21	2.611477503
22	2.597918024
23	2.584592278
24	2.569430084
25	2.555207447
26	2.54275413
27	2.530223392
28	2.520654983
29	2.507985456
30	2.498897896
31	2.488826968
32	2.480160762
33	2.470301768
34	2.46146139
35	2.453393644
36	2.444389522
37	2.435345344
38	2.428953171
39	2.421518879
40	2.415055155
41	2.40713337
42	2.399763694
43	2.395430267
44	2.387863755
45	2.380327952
46	2.37343255
47	2.367656564
48	2.363259215
49	2.357327756
50	2.351942508
51	2.34734071
52	2.342220827
53	2.336577574
54	2.332819181
55	2.327692242
56	2.324375535
57	2.319693216
58	2.315474982
59	2.310900043
60	2.306794497
61	2.303028469
62	2.298807242
63	2.293321783
64	2.28933784
65	2.285469648
66	2.282255096
67	2.27843325
68	2.2748113
69	2.271146488
70	2.268046953
71	2.265245957
72	2.262150662
73	2.258166633
74	2.255779524
75	2.253253748
76	2.250813399
77	2.248288877
78	2.245177863
79	2.243806296
80	2.241347861
81	2.239958082
82	2.2373986
83	2.234828708
84	2.231070452
85	2.228514378
86	2.225873551
87	2.223343133
88	2.220965328
89	2.218873528
90	2.216167897
91	2.213852281
92	2.211403401
93	2.20903473
94	2.2072389
95	2.205562309
96	2.20356596
97	2.201689858
98	2.199802974
99	2.198820722
100	2.196917796
101	2.195231029
102	2.193692483
103	2.192620865
104	2.189654559
105	2.188844576
106	2.187468051
107	2.185860017
108	2.184031268
109	2.182625241
110	2.181543509
111	2.179331844
112	2.178031732
113	2.176325017
114	2.17468479
115	2.172586785
116	2.170698501
117	2.169444223
118	2.167427639
119	2.165376938
120	2.164852073
121	2.163753712
122	2.162110723
123	2.160613231
124	2.158981996
125	2.157317099
126	2.155656632
127	2.154304092
128	2.152521941
129	2.151537869
130	2.14982001
131	2.149414757
132	2.147391563
133	2.145393469
134	2.14343488
135	2.142359866
136	2.14115807
137	2.13942494
138	2.138174664
139	2.136532962
140	2.136006951
141	2.134673687
142	2.132846176
143	2.131943613
144	2.130553684
145	2.129825785
146	2.128571907
147	2.127687321
148	2.126519783
149	2.125938909
150	2.1252129
151	2.124007804
152	2.122939242
153	2.122203107
154	2.121282801
155	2.119474195
156	2.118913968
157	2.117541018
158	2.116152211
159	2.11481542
160	2.114002727
161	2.112044561
162	2.11077412
163	2.109781673
164	2.108648349
165	2.108029287
166	2.107734441
167	2.106783044
168	2.105565215
169	2.104961957
170	2.103389646
171	2.10205469
172	2.100420425
173	2.099286353
174	2.098553963
175	2.098259283
176	2.097237689
177	2.09626316
178	2.095020074
179	2.09426279
180	2.092963892
181	2.092217505
182	2.090904084
183	2.090045128
184	2.088675795
185	2.087743803
186	2.087245854
187	2.086542442
188	2.08498217
189	2.084206172
190	2.082369891
191	2.081770485
192	2.080730237
193	2.079920345
194	2.079317084
195	2.077154254
196	2.075984418
197	2.075453397
198	2.074371466
199	2.073584616
200	2.073027916
201	2.072650061
202	2.071601627
203	2.070069676
204	2.06919606
205	2.068660124
206	2.068240541
207	2.066952519
208	2.065880681
209	2.064869577
210	2.063889357
211	2.063342389
212	2.061845067
213	2.061388463
214	2.060754431
215	2.059530599
216	2.058858033
217	2.057839842
218	2.057074154
219	2.056436985
220	2.055615637
221	2.054883442
222	2.053558937
223	2.053209361
224	2.053130161
225	2.052807702
226	2.051936337
227	2.051279875
228	2.05008226
229	2.049565548
230	2.04883655
231	2.048187425
232	2.047058185
233	2.04614335
234	2.045796969
235	2.045688136
236	2.04516935
237	2.044811801
238	2.043980283
239	2.042581431
240	2.041512406
241	2.041387095
242	2.040907183
243	2.040700707
244	2.039381648
245	2.038668106
246	2.037458465
247	2.036873136
248	2.036807632
249	2.036465174
250	2.03586979
251	2.035144317
252	2.034844759
253	2.03399143
254	2.033435035
255	2.032693401
256	2.032103896
257	2.03148528
258	2.031186762
259	2.030402258
260	2.030106935
261	2.029710749
262	2.029299669
263	2.028963492
264	2.028720016
265	2.028520144
266	2.028228491
267	2.026844215
268	2.025133357
269	2.024859293
270	2.023483983
271	2.023104904
272	2.022149993
273	2.022054885
274	2.021477317
275	2.020932256
276	2.019867479
277	2.018634675
278	2.018370355
279	2.016175217
280	2.014202338
281	2.012698428
282	2.011742859
283	2.011371089
284	2.009657015
285	2.009418474
286	2.007938006
287	2.007867367
288	2.00718338
289	2.005141496
290	2.004471041
291	2.00411831
292	2.002720908
293	2.001857149
294	2.000090005
295	1.998787036
296	1.997140848
297	1.997085756
298	1.995251023
299	1.994802667
300	1.994448789
301	1.994212368
302	1.994040555
303	1.993153521
304	1.991649749
305	1.991217447
306	1.990661441
307	1.989546607
308	1.988094076
309	1.986466979
310	1.986242347
311	1.985022423
312	1.984121237
313	1.982340713
314	1.981577629
315	1.981509981
316	1.980902721
317	1.979885226
318	1.979530231
319	1.978784419
320	1.977184159
321	1.976131088
322	1.975192125
323	1.97352502
324	1.973074527
325	1.971357798
326	1.971124392
327	1.970068686
328	1.968608367
329	1.967055792
330	1.965931003
331	1.965746081
332	1.965677485
333	1.964523287
334	1.963478253
335	1.962868862
336	1.962324014
337	1.960953268
338	1.959909818
339	1.958348984
340	1.957722066
341	1.956576283
342	1.955534102
343	1.955183824
344	1.954607871
345	1.953215954
346	1.951781961
347	1.951622628
348	1.950495695
349	1.948948899
350	1.948426478
351	1.947822613
352	1.947615338
353	1.946167554
354	1.944830306
355	1.944253834
356	1.943622917
357	1.942447768
358	1.941517369
359	1.940083767
360	1.939560771
361	1.938393053
362	1.93805095
363	1.936767056
364	1.936120212
365	1.935709206
366	1.935313398
367	1.934439785
368	1.93394705
369	1.932628594
370	1.932488742
371	1.93193882
372	1.931022938
373	1.929780214
374	1.928615293
375	1.928243659
376	1.92777254
377	1.927265677
378	1.927134874
379	1.925965465
380	1.924838761
381	1.924321543
382	1.923943614
383	1.922658983
384	1.922112116
385	1.921830077
386	1.92149591
387	1.920428059
388	1.91995033
389	1.918626992
390	1.917748084
391	1.917054787
