iter	Passed	Remaining
0	2	1254
1	4	1223
2	6	1252
3	8	1270
4	10	1219
5	12	1210
6	14	1196
7	15	1162
8	17	1130
9	18	1106
10	20	1103
11	22	1102
12	24	1085
13	25	1075
14	27	1080
15	29	1067
16	30	1059
17	32	1049
18	34	1040
19	36	1050
20	38	1061
21	40	1055
22	41	1050
23	43	1048
24	45	1043
25	46	1037
26	48	1032
27	50	1027
28	52	1026
29	54	1033
30	56	1028
31	57	1024
32	59	1025
33	61	1020
34	62	1013
35	64	1009
36	66	1004
37	67	1002
38	69	1006
39	71	1000
40	73	996
41	75	1004
42	78	1010
43	79	1005
44	81	1000
45	82	997
46	85	1002
47	86	1000
48	89	1002
49	90	998
50	92	998
51	94	996
52	96	994
53	98	998
54	101	1001
55	102	999
56	104	998
57	106	998
58	108	994
59	110	991
60	111	988
61	113	986
62	115	987
63	117	984
64	119	980
65	120	977
66	122	975
67	124	973
68	126	972
69	128	970
70	129	968
71	132	969
72	133	967
73	135	964
74	137	961
75	139	959
76	140	957
77	142	953
78	144	952
79	146	951
80	148	948
81	149	946
82	151	945
83	153	944
84	155	941
85	157	940
86	159	938
87	161	936
88	163	936
89	165	935
90	167	938
91	171	945
92	173	943
93	174	940
94	176	938
95	178	938
96	180	937
97	182	935
98	184	933
99	186	931
100	188	928
101	190	930
102	192	931
103	194	927
104	196	925
105	197	922
106	199	920
107	201	917
108	203	916
109	205	915
110	207	916
111	210	915
112	212	914
113	214	912
114	215	909
115	217	908
116	219	907
117	221	904
118	223	903
119	225	902
120	227	900
121	229	899
122	231	898
123	233	895
124	235	893
125	236	890
126	239	890
127	240	888
128	242	885
129	244	884
130	246	882
131	248	879
132	249	877
133	251	875
134	253	873
135	255	871
136	257	869
137	259	867
138	261	865
139	262	863
140	264	861
141	266	859
142	268	857
143	270	857
144	272	855
145	274	853
146	276	852
147	278	850
148	279	847
149	282	846
150	284	844
151	286	844
152	288	843
153	290	840
154	292	839
155	294	838
156	296	837
157	298	835
158	300	834
159	303	833
160	305	831
161	306	829
162	308	827
163	310	826
164	312	823
165	314	821
166	317	822
167	318	820
168	320	817
169	322	815
170	324	813
171	325	810
172	327	808
173	329	806
174	331	804
175	332	802
176	334	799
177	336	797
178	338	796
179	340	794
180	343	794
181	344	792
182	346	790
183	348	788
184	350	787
185	352	785
186	354	782
187	356	780
188	357	778
189	359	776
190	362	775
191	364	773
192	365	771
193	367	769
194	369	768
195	371	765
196	373	763
197	375	762
198	377	760
199	379	758
200	381	756
201	382	754
202	384	751
203	386	749
204	387	747
205	390	747
206	392	745
207	394	743
208	396	741
209	397	739
210	399	736
211	401	734
212	402	732
213	404	729
214	406	727
215	408	725
216	410	724
217	412	722
218	413	720
219	415	718
220	417	716
221	419	715
222	421	713
223	424	712
224	426	710
225	428	708
226	430	707
227	432	706
228	434	704
229	436	702
230	438	700
231	440	699
232	442	697
233	444	695
234	446	693
235	448	691
236	450	689
237	451	687
238	453	685
239	455	683
240	457	682
241	459	679
242	461	677
243	463	675
244	464	673
245	466	671
246	468	669
247	470	667
248	471	665
249	473	663
250	475	661
251	477	659
252	479	657
253	480	655
254	482	653
255	484	651
256	487	650
